"worlds greatest ever CB played this morning????? :lol: :lol: :lol: That was some game and Liverpool didn't deserve to lose 3-0, but what player Messi is, everything going forward was through him or scored by him and a sublime free kick to cap it all. I didn't think VVD did much wrong, first","Thu May 02, 2019 9:17 am",207,33619,World Football,Champions League 2018/19
De Gea best keeper in the World according to Utd fans. Lionel Messi certainly loves him,"Wed Apr 17, 2019 4:52 am",1062,202417,World Football,Man Utd
"It won (joint?) horse of the year, a world-wide recognition, so it's like coming equal with Messi in football terms. Race overseas and it wont be joint winner. Yeah, probably be outright winner. If it were my horse, I wouldn't risk a long trip either. Didn't do Black","Mon Apr 15, 2019 3:16 pm",16,6395,Other Sports,Winx
Race overseas and it wont be joint winner.,"Mon Apr 15, 2019 12:38 pm",16,6395,Other Sports,Winx
"Its like being a good footballer in the A League. It won (joint?) horse of the year, a world-wide recognition, so it's like coming equal with Messi in football terms.","Mon Apr 15, 2019 11:14 am",16,6395,Other Sports,Winx
"Another hatty overnight. A free kick that he placed so well that even with the keeper on that side he couldn’t stop it and a third goal that was simply brilliant. To have the presence of mind to even consider chipping the keeper from there was impressive, to have the touch and skill to pull it off w","Mon Mar 18, 2019 11:13 am",3,1658,World Football,Lionel Messi scored his 400th La Liga goal
The 'one shot' penalty rule may be stupid but it will get rid of the need for officials to try and control the currently out of hand encroachment that happensand prevent the Cryuff-Messi style layoff penalty farce,"Sat Mar 02, 2019 6:03 pm",14,3991,World Football,Laws-of-the-Game Board (IFAB) 2 March 2019 AGM @ Aberdeen
"Just how good is this guy. Lionel Messi scored his 50th career hat-trick as he inspired Barcelona's comeback to beat Sevilla 4-2. Barca went 10 points clear at the top of the La Liga table thanks to their star man, who scored three goals of","Sun Feb 24, 2019 1:04 pm",3,1658,World Football,Lionel Messi scored his 400th La Liga goal
Unbelievable feat by King Messi. We'll never see a player like that ever again. I hope I'm wrong though.,"Wed Jan 23, 2019 12:56 am",3,1658,World Football,Lionel Messi scored his 400th La Liga goal
"As Barcelona beat Eibar at the Nou Camp to regain their five-point lead at the top of the table.Messi, the all-time leading scorer in the Spanish top flight, finished into the bottom corner for Barca’s second. The landmark goal comes in the Argentine’s 435th league game. Read More","Mon Jan 14, 2019 2:31 pm",3,1658,World Football,Lionel Messi scored his 400th La Liga goal
"The move shocked the Spanish champions, with Gerard Pique claiming Neymar would be staying at the Nou Camp just before the move was completed. Messi told：""I think it is complicated how Neymar would leave PSG. We would love to have him back, as a player and for the dressing room. We're friends,","Thu Jan 03, 2019 12:07 pm",2,1445,World Football,Transfer rumors
"season 2018/2019 I am a big fan of barca for 20 years now. Their style of play this season is great, barca will win this year's league and Messi will win the pichichi. Look at real madrid and atletico madrid, they are too weak this season, they are hard to fight with barca. ","Thu Dec 20, 2018 12:38 pm",0,1003,World Football,barcelona 2018/2019
"Why would any A-League keeper go to a lower league? Also, its like asking someone to prove why Messi isn't good enough for the Indian Premier League as he hasn't actually played there, its not possible to ""prove"" but its obvious to anyone with half a brain that he wouldn't","Mon Sep 24, 2018 3:11 pm",73,11320,World Football,Goalkeeper Wanted
"be good enough in the future, but they're not now. Why would any A-League keeper go to a lower league? Also, its like asking someone to prove why Messi isn't good enough for the Indian Premier League as he hasn't actually played there, its not possible to ""prove"" but its obvious to anyone with","Mon Sep 24, 2018 10:11 am",73,11320,World Football,Goalkeeper Wanted
"the social pressures. whatever happened to working hard to achieve things? Just like happened to Wayne Rooney, Michael Owen, Ronaldo and Lionel Messi - total failures every one. :wink:","Tue Jul 17, 2018 12:38 pm",32,7009,World Football,Arzani
"goals. Unlucky a couple of times last night. I am not looking forward to loosing Hazard, a genius with the ball. At this WC so much better than Messi skillwise. I still regret Kevin De Bruyne leaving Chelsea. Mourinho did not give him a chance plus had to battle a massive midfield at the time","Sun Jul 15, 2018 12:02 pm",614,82121,World Football,World Cup 2018
GTC and SV still celebrating at the Croatian club? :wink: Nice win and wonder if Messi will quit the Argie national team again if they fail to get to next round. :lol: :lol: :lol: :lol: :lol: 8) 8) 8) 8) 8) How were bar sales? 8) Made enough to sign Ante Rebic for,"Fri Jun 22, 2018 12:56 pm",614,82121,World Football,World Cup 2018
How were bar sales?,"Fri Jun 22, 2018 10:46 am",614,82121,World Football,World Cup 2018
,"Fri Jun 22, 2018 10:37 am",614,82121,World Football,World Cup 2018
GTC and SV still celebrating at the Croatian club? :wink: Nice win and wonder if Messi will quit the Argie national team again if they fail to get to next round.,"Fri Jun 22, 2018 9:18 am",614,82121,World Football,World Cup 2018
I'm in the Messi camp regarding the BITW player but Ronaldo may have just overtaken him in my estimation. Hattrick and has scored at 4 WC's. Just absolutely brilliant. I watched the earlier game Uruguay vs Egypt. Great game and,"Sat Jun 16, 2018 10:10 am",614,82121,World Football,World Cup 2018
I'm in the Messi camp regarding the BITW player but Ronaldo may have just overtaken him in my estimation. Hattrick and has scored at 4 WC's. Just absolutely brilliant. I watched the earlier game Uruguay vs Egypt. Great game and pity Egypt lost at the end. To see Salah sitting on bench was shame.,"Sat Jun 16, 2018 8:54 am",614,82121,World Football,World Cup 2018
"Pavon (Boca Juniors), Maximiliano Meza (Independiente), Ricardo Centurion (Racing), Rodrigo Battaglia (Sporting Lisbon/POR). Forwards: Lionel Messi (Barcelona/ESP), Gonzalo Higuain and Paulo Dybala (Juventus/ITA), Mauro Icardi (Inter Milan/ITA), Sergio Aguero (Manchester City/ENG), Diego Perotti","Wed May 16, 2018 11:13 am",0,899,World Football,Argentina squad 2018
"Salah is now up there with Messi, Ronaldo etc, no doubt. :lol: :lol: You're kidding right? Salah has had an amazing season. Definately deserves all the plaudits he's getting. Great player. But Messi and Ronaldo have been having these kind","Thu Apr 26, 2018 2:11 pm",1717,285118,World Football,Liverpool
"Whilst Ronaldo has done well playing in the EPL, has Messi? You claim EPL to be the hardest league in the world right? Salah is tearing up EPL and UCL.","Thu Apr 26, 2018 9:06 am",1717,285118,World Football,Liverpool
"Salah is now up there with Messi, Ronaldo etc, no doubt. :lol: Agree, he is above everyone at present :wink: Another 5 goals, shame we don’t have Phil though, could have done with him v Stoke on Saturday. With injuries to Can, Lallana","Wed Apr 25, 2018 9:37 am",1717,285118,World Football,Liverpool
"to see a side's crowd celebrating a 5-2 loss, but I guess away goals have been kind to Roma this campaign. :wink: Salah is now up there with Messi, Ronaldo etc, no doubt. Just need level heads going to Rome.","Wed Apr 25, 2018 7:57 am",1717,285118,World Football,Liverpool
"Keep up, my method!! Jurgen buys the likes of Salah and Mane, 2nd tier","Mon Jan 01, 2018 1:48 pm",60,15798,World Football,EPL Transfers 2018
The Jurgen Klopp method of coaching eh? Sounds like he's copying Pep :wink:,"Mon Jan 01, 2018 12:49 pm",60,15798,World Football,EPL Transfers 2018
"give my age? Sounds a bit plastic in his ideas as well then Jan 1st 2018 and I am being called plastic - love it! The year can only get better. Messi, Ronaldo KDB. SIgn them and we are better - this is easy.","Mon Jan 01, 2018 11:52 am",60,15798,World Football,EPL Transfers 2018
And you think these players and coaches are getting paid good money.,"Wed Oct 11, 2017 12:01 pm",35,8411,World Football,WC Qualifiers - South America
"Everything I hate about modern defending right there. Under pressure so put the bottle of shiraz ball in the stands and, if Messi comes to challenge, stick him there with it. Yep not stuffing around with the ball in your final third - Good defending - players body shape, positioning,","Wed Oct 11, 2017 11:58 am",35,8411,World Football,WC Qualifiers - South America
"[. Everything I hate about modern defending right there. Under pressure so put the bottle of shiraz ball in the stands and, if Messi comes to challenge, stick him there with it.[/quote] Yep not stuffing around with the ball in your final third - Good defending - players body shape, positioning,","Wed Oct 11, 2017 11:18 am",35,8411,World Football,WC Qualifiers - South America
"1-1 now Argentina equalizer after 14 minutes all other games 0-0 atm Messi is soooo one footed it's unbelievable. Good goal though. Argentina now 2-1 up. Everything I hate about modern defending right there. On the edge of your own box and under pressure,","Wed Oct 11, 2017 11:07 am",35,8411,World Football,WC Qualifiers - South America
all half time scores - coffee time,"Wed Oct 11, 2017 10:51 am",35,8411,World Football,WC Qualifiers - South America
Update,"Wed Oct 11, 2017 10:43 am",35,8411,World Football,WC Qualifiers - South America
Ecuador 1 V Argentina (Messi 2) 2 Uraguay 0 V Bolivia 1all the others are 0-0 atm - 28 minute mark,"Wed Oct 11, 2017 10:28 am",35,8411,World Football,WC Qualifiers - South America
Argentina now 2-1 up.,"Wed Oct 11, 2017 10:21 am",35,8411,World Football,WC Qualifiers - South America
Messi is soooo one footed it's unbelievable. Good goal though.,"Wed Oct 11, 2017 10:16 am",35,8411,World Football,WC Qualifiers - South America
"when you haven't heard people I consider to be better? That's like watching me play football and saying I'm the best in the world without watching Messi play. Benaud was a good presenter, not a good commentator and a prick of a person. I don't understand what perfext means. You are not a good player","Fri Aug 25, 2017 2:14 pm",15,5813,Other Sports,Test Cricket to move to Foxtel from FTA?
"when you haven't heard people I consider to be better? That's like watching me play football and saying I'm the best in the world without watching Messi play. Benaud was a good presenter, not a good commentator and a prick of a person.","Fri Aug 25, 2017 1:46 pm",15,5813,Other Sports,Test Cricket to move to Foxtel from FTA?
believe he will go to Germany or England( that's because they have money and can afford it) Wouldn't it be funny if he went to Barca to play with Messi?,"Fri Jul 07, 2017 2:31 pm",5,2311,World Football,Ronaldo to leave Real Madrid?
"a sore point it was bought to my attention by an English rag.. such a bad loser..even Real Madrid fans have stood and clapped a Messi master class. 'greasy knuckle dragger'..really showing your insecurities there. Sore point? Seeing as you got the date wrong, we didn't","Sun Jun 25, 2017 7:26 pm",116,23046,World Football,Happy Anniversary England!!!!!!
